type;id;currency_salary;salary_from;salary_to
b2b;medicover-scrum-master-c98b43c0-ec81-4105-8944-3fcea482b454;;;
permanent;medicover-scrum-master-c98b43c0-ec81-4105-8944-3fcea482b454;;;
b2b;evolpe-junior-devops-engineer;pln;5000;8000
permanent;evolpe-junior-devops-engineer;pln;4200;6700
permanent;mbank-tester-ka-automatyzujacy-a;;;
b2b;fakturownia-sp-z-o-o-programista-ruby-on-rails;pln;10000;17000
permanent;fakturownia-sp-z-o-o-programista-ruby-on-rails;pln;8000;14000
permanent;beneering-junior-backend-developer-lodz;pln;4000;6000
permanent;citi-data-tester;pln;7500;14400
permanent;allegro-cloud-engineer-devops-0a1a47c5-7afa-4ad6-b89b-546cd7fc6396;pln;12400;17100
permanent;citi-android-developer;pln;10000;20000
permanent;citi-senior-scala-bigdata-developer;pln;14300;28600
b2b;sollers-consulting-sp-z-o-o-c-net-developer-d36e234d-7578-4af6-bcde-94cc8ff38f16;pln;11800;17900
permanent;sollers-consulting-sp-z-o-o-c-net-developer-d36e234d-7578-4af6-bcde-94cc8ff38f16;pln;9700;15800
permanent;reply-business-unit-manager-katowice;pln;22000;28000
permanent;reply-aws-devops-engineer;pln;6000;12000
b2b;desportivo-magento-developer-php;pln;11000;13000
permanent;desportivo-magento-developer-php;pln;9000;11000
permanent;ciklum-senior-aws-devops-engineer;;;
b2b;ciklum-senior-aws-devops-engineer;;;
permanent;ciklum-senior-js-react-developer-gdansk;;;
b2b;ciklum-senior-js-react-developer-gdansk;;;
b2b;amsterdam-standard-sp-z-o-o-front-end-developer-vue-js-wroclaw;pln;11000;18000
b2b;from-poland-with-dev-senior-frontend-developer-learn-vue;pln;20000;28000
permanent;from-poland-with-dev-senior-frontend-developer-learn-vue;pln;16000;23000
b2b;bluesoft-junior-java-developer-4fd5b6d3-cc65-402e-ab25-1c5e63be2791;pln;7000;9000
permanent;cpl-jobs-python-software-engineer;pln;14000;22000
b2b;espeo-javascript-react;pln;14520;23760
permanent;seb-data-analyst;;;
b2b;grupa-interia-pl-node-js-backend-developer;pln;10000;16000
permanent;grupa-interia-pl-node-js-backend-developer;pln;8000;14000
b2b;espeo-software-node-js-developer-8b30a7fb-83a3-46c3-9edb-c483fd9b5b28;pln;12960;25920
b2b;fordata-senior-test-automation-engineer;pln;7000;11000
permanent;ers-it-administrator;pln;8000;15000
b2b;ers-it-administrator;pln;8000;15000
b2b;stayinfront-digital-c-software-engineer;pln;8000;13000
permanent;stayinfront-digital-c-software-engineer;pln;6700;11000
b2b;the-jm-longbridge-group-frontend-developer-angular;pln;22000;33500
permanent;the-jm-longbridge-group-frontend-developer-angular;pln;17000;25000
permanent;consult-red-project-manager;pln;19000;24000
permanent;faina-lifestyle-developer-magento;;;
b2b;pgs-software-s-a-middle-qa-automation-specialist-java;pln;12700;21500
permanent;pgs-software-s-a-middle-qa-automation-specialist-java;pln;9500;16500
permanent;polkomtel-sp-z-o-o-projektant-integracji-devops;;;
b2b;polkomtel-sp-z-o-o-projektant-integracji-devops;;;
permanent;eleving-group-php-developer;eur;4000;4600
permanent;grafton-recruitment-c-c-developer-tychy;pln;9000;14000
b2b;pgs-software-s-a-senior-qa-automation-specialist;pln;19300;26100
permanent;pgs-software-s-a-senior-qa-automation-specialist;pln;14600;20500
b2b;droptica-junior-php-developer-wroclaw;pln;5000;8500
b2b;swivl-lead-embedded-software-engineer;usd;5000;6500
b2b;itlt-test-analyst;pln;16800;20160
b2b;itlt-big-data-developer;pln;19000;27000
b2b;polcode-go-developer;pln;21000;26000
permanent;polcode-go-developer;pln;17500;21500
permanent;eqtek-full-stack-developer;;;
b2b;eqtek-full-stack-developer;;;
permanent;wipro-team-lead-service-desk;pln;8000;10000
b2b;divante-remote-magento-2-developer;pln;16800;23500
permanent;divante-remote-magento-2-developer;pln;14000;19500
b2b;pgs-software-s-a-senior-qa-automation-specialist-python;pln;19300;26100
permanent;pgs-software-s-a-senior-qa-automation-specialist-python;pln;14600;20500
permanent;lsi-software-php-developer-6cf65287-51af-4ff3-b530-3ef1b89d35cb;pln;6000;12000
b2b;pgs-software-s-a-middle-qa-automation-specialist;pln;12700;21500
permanent;pgs-software-s-a-middle-qa-automation-specialist;pln;9500;16500
permanent;scs-expert-sp-z-o-o-senior-project-manager-b7e288ae-8641-4a6a-98a9-38358cdd5614;;;
b2b;scs-expert-sp-z-o-o-senior-project-manager-b7e288ae-8641-4a6a-98a9-38358cdd5614;;;
permanent;pwc-service-delivery-center-programista-net;;;
permanent;domdata-programista-net-backend;pln;4500;8500
b2b;brainly-senior-ios-engineer-krakow;pln;17000;26000
permanent;brainly-senior-ios-engineer-krakow;pln;17000;26000
permanent;ericsson-devops-engineer;;;
permanent;brainly-ios-engineer-a061b31b-268b-4b63-abac-aebf49091df8;pln;11000;19000
b2b;brainly-ios-engineer-a061b31b-268b-4b63-abac-aebf49091df8;pln;11000;19000
b2b;pgs-software-s-a-middle-qa-automation-specialist-python;pln;12700;21500
permanent;pgs-software-s-a-middle-qa-automation-specialist-python;pln;9500;16500
b2b;pgs-software-s-a-senior-qa-automation-specialist-ec1a6a3d-6cc6-4dae-863c-7f0ca2d6c869;pln;19300;26100
permanent;pgs-software-s-a-senior-qa-automation-specialist-ec1a6a3d-6cc6-4dae-863c-7f0ca2d6c869;pln;14600;20500
b2b;pgs-software-s-a-middle-qa-automation-specialist-c;pln;12700;21500
permanent;pgs-software-s-a-middle-qa-automation-specialist-c;pln;9500;16500
b2b;pgs-software-s-a-senior-qa-automation-specialist-c;pln;19300;26100
permanent;pgs-software-s-a-senior-qa-automation-specialist-c;pln;14600;20500
b2b;rowdy-sp-z-o-o-senior-react-developer-gliwice;pln;20000;30000
permanent;rowdy-sp-z-o-o-senior-react-developer-gliwice;pln;16600;24900
permanent;mv-center-systemy-wizyjne-programista-aplikacji-systemow-wizyjnych;;;
b2b;uig-studio-project-manager-scrum-master;pln;10000;15000
permanent;goldschmidt-programista-net;;;
permanent;wp-engine-backend-engineer-krakow;;;
b2b;ntiative-devops-engineer-krakow;pln;18000;25000
permanent;ntiative-devops-engineer-krakow;pln;18000;25000
b2b;symmetrical-ai-php-developer;pln;16000;20000
permanent;symmetrical-ai-php-developer;pln;16000;20000
b2b;anixe-senior-ux-designer;pln;12000;19000
permanent;anixe-senior-ux-designer;pln;12000;16000
b2b;dynamic-solutions-solution-architect;pln;26500;33500
b2b;startup-house-node-js-developer;pln;8400;16800
b2b;divante-senior-node-js-developer;pln;10920;18480
permanent;divante-senior-node-js-developer;pln;9000;15300
b2b;applover-project-manager-wroclaw;pln;9000;13000
permanent;applover-project-manager-wroclaw;pln;7440;10800
b2b;climatica-powered-by-daftcode-python-developer;pln;14000;16000
b2b;itlt-qa-engineer;pln;23520;26040
b2b;tooploox-senior-backend-node-js;pln;13000;19000
permanent;tooploox-senior-backend-node-js;pln;12000;17000
mandate_contract;volue-sp-z-o-o-it-support-engineer-gdynia;pln;5500;7500
b2b;devsdata-llc-senior-web-developer-remote;pln;23000;30000
permanent;ericsson-junior-regular-tester-5g-area;;;
b2b;infoprojekt-sp-z-o-o-microsoft365-support-test-engineer;;;
permanent;ntiative-agile-coach;;;
permanent;anixe-technical-support-specialist-lodz;pln;6000;12000
b2b;just-join-it-technical-leader;pln;26000;30000
b2b;pgs-software-s-a-senior-qa-automation-specialist-java;pln;19300;26100
permanent;pgs-software-s-a-senior-qa-automation-specialist-java;pln;14600;20500
b2b;divante-remote-fullstack-developer;pln;13440;25200
permanent;divante-remote-fullstack-developer;pln;11400;22800
permanent;domdata-programista-net;pln;4500;8500
b2b;astek-polska-test-automation-engineer-aa6ee13e-245a-416a-ac86-854dc0fade29;pln;18060;19500
permanent;astek-polska-test-automation-engineer-aa6ee13e-245a-416a-ac86-854dc0fade29;pln;12900;13500
b2b;applover-qa-specialist-wroclaw;pln;7000;12000
permanent;applover-qa-specialist-wroclaw;pln;5830;10000
b2b;itlt-frontend-developer-angular-warszawa;pln;20160;23520
b2b;from-poland-with-dev-react-node-engineer-work-life-balance;pln;25000;35000
permanent;from-poland-with-dev-react-node-engineer-work-life-balance;pln;20000;30000
b2b;whoohoo-poland-mid-java-developer-09e3ae74-0910-445c-970e-3fbda9a33c95;pln;24000;30000
b2b;startup-house-node-js-developera;pln;16800;25200
permanent;startup-house-node-js-developera;pln;13280;19920
b2b;sagiton-sp-z-o-o-front-end-developer-wroclaw;pln;14000;25000
b2b;volue-sp-z-o-o-software-developer;pln;13500;18500
b2b;tooploox-senior-fullstack-node-js-engineer;pln;18000;23000
permanent;tooploox-senior-fullstack-node-js-engineer;pln;16000;21000
b2b;prodata-consult-senior-ruby-on-rails-developer;pln;26880;33600
b2b;grand-parade-part-of-william-hill-python-developer-sre;;;
permanent;grand-parade-part-of-william-hill-python-developer-sre;;;
b2b;7n-it-security-analyst;pln;20160;25200
b2b;divante-remote-senior-node-js-developer;pln;18480;25200
permanent;divante-remote-senior-node-js-developer;pln;15300;20900
b2b;smart-adserver-senior-fullstack-developer-net-6-js;pln;19000;25000
b2b;divante-magento-2-developer-wroclaw;pln;10900;16800
permanent;divante-magento-2-developer-wroclaw;pln;9000;13900
b2b;productive-edge-senior-lead-java-developer;pln;25000;28000
b2b;unity-group-php-magento-developer-44608e03-fafb-450d-bf33-67e00acf6916;pln;11800;20200
permanent;unity-group-php-magento-developer-44608e03-fafb-450d-bf33-67e00acf6916;pln;8500;14500
b2b;codilime-head-od-it-administration;pln;14000;20000
b2b;the-jm-longbridge-group-java-developer-backend;pln;22000;33500
permanent;the-jm-longbridge-group-java-developer-backend;pln;17000;25000
b2b;unity-group-senior-php-developer-spryker-krakow;pln;18500;26900
permanent;unity-group-senior-php-developer-spryker-krakow;pln;13500;19500
permanent;cognizant-technology-solutions-full-stack-engineer-with-java;pln;13750;25300
b2b;cognizant-technology-solutions-full-stack-engineer-with-java;pln;13750;25300
b2b;unity-group-php-developer-2ac2bc35-e07f-4024-9fa4-d2472b7051c1;pln;11760;20200
permanent;unity-group-php-developer-2ac2bc35-e07f-4024-9fa4-d2472b7051c1;pln;8500;14500
permanent;cognizant-technology-solutions-quality-engineer-automation;;;
permanent;hemmersbach-unified-communications-administrator-pbx;;;
b2b;bold-pl-senior-frontend-developer;pln;19800;23000
permanent;bold-pl-senior-frontend-developer;pln;16500;19200
b2b;speednet-automation-tester-mobile;pln;12000;15000
b2b;team-international-poland-devops-engineer-aws;pln;17000;21000
permanent;team-international-poland-devops-engineer-aws;pln;14000;17500
b2b;skygate-node-js-developer;pln;9000;18000
permanent;fineos-graduate-java-developer;;;
b2b;skelia-senior-net-developer-2f70d1d1-0610-4583-b3cb-e09cb6a65fbb;pln;20000;27000
b2b;housecall-pro-senior-devops-engineer-remote;usd;7500;9500
permanent;santander-gto-data-management-specialist;;;
b2b;softwareplant-scrum-master-22092f26-df99-4b8b-9676-49de8931a77e;pln;22000;32000
permanent;softwareplant-scrum-master-22092f26-df99-4b8b-9676-49de8931a77e;pln;22000;32000
b2b;elitmind-digital-marketing-business-analyst;pln;16000;21000
b2b;codahead-devops-4ee44d63-2b5e-41bc-90e5-7822184d9a05;pln;13000;25000
permanent;epam-systems-junior-data-processing-specialist;;;
permanent;xtrf-test-automation-engineer-krakow;pln;6000;12000
b2b;skygate-junior-python-developer;pln;4000;8000
b2b;itds-project-manager-change-manager;pln;17000;22000
permanent;exatel-s-a-r-d-software-engineer-sdn-c-python;pln;12000;17000
b2b;ncdc-frontend-developer-4-day-work-week;pln;7500;15000
permanent;ncdc-frontend-developer-4-day-work-week;pln;6500;13000
permanent;bigpicture-angular-developer;pln;12000;22000
b2b;bigpicture-angular-developer;pln;12000;22000
permanent;kearney-junior-bi-developer;pln;7500;11000
b2b;accenture-sp-z-o-o-azure-architect-warszawa;;;
permanent;accenture-sp-z-o-o-azure-architect-warszawa;;;
permanent;santander-gto-business-intelligence-developer;;;
b2b;booksy-qa-manual-engineer-warszawa;;;
permanent;booksy-qa-manual-engineer-warszawa;;;
permanent;noble-securities-s-a-administrator-systemow-it;;;
b2b;noble-securities-s-a-administrator-systemow-it;;;
permanent;ledatel-sp-z-o-o-i-wspolnicy-sp-k-frontend-developer;pln;14000;24000
b2b;netguru-senior-devops-engineer-poznan;pln;18000;26000
permanent;netguru-senior-devops-engineer-poznan;pln;15000;21700
permanent;provident-polska-c-net-developer-94999f46-223f-4d00-9b39-a9feb356472a;pln;8500;12000
b2b;amt-solution-ruby-on-rails-developer-junior-wroclaw;pln;4500;9000
permanent;voicelab-backend-developer;pln;13000;20000
b2b;voicelab-backend-developer;pln;13000;19994
permanent;autopay-mobility-java-developer;;;
b2b;futurecollars-mentor-trener-kursu-frontend;pln;3000;6000
b2b;neontri-infrastructure-administrator;pln;16800;25000
permanent;allegro-mobile-software-engineer-android-73f24ebf-3477-4679-a281-fe5790adabd9;;;
permanent;platige-image-r-d-developer-warszawa;pln;10000;13000
b2b;codibly-senior-net-developer-6ef20bd2-65e1-4fc9-8e3a-d3f1db1ba93d;pln;17000;25000
b2b;deviniti-junior-qa-engineer;pln;6000;7700
permanent;deviniti-junior-qa-engineer;pln;5500;6500
b2b;anixe-technical-support-team-leader-wroclaw;pln;12000;16000
permanent;anixe-technical-support-team-leader-wroclaw;pln;12000;16000
b2b;platige-image-python-developer-warszawa;pln;11000;14000
permanent;icu-medical-embedded-software-engineer;pln;18000;28000
b2b;software-interactive-sp-z-o-o-net-fullstack-developer;pln;12500;22500
b2b;codahead-go-developer;pln;13000;21000
permanent;redge-technologies-mlodszy-programista-c;;;
b2b;itlt-senior-net-developer;pln;22000;24000
b2b;hobly-senior-medium-java-fullstack-developer-wroclaw;pln;22000;28000
b2b;spyrosoft-middle-senior-java-developer-warszawa;pln;12500;25000
permanent;spyrosoft-middle-senior-java-developer-warszawa;pln;9000;18000
b2b;matrix-it-frontend-developer-bydgoszcz;eur;4000;6500
permanent;britenet-tester-manualny-branza-przemyslowa;;;
b2b;britenet-tester-manualny-branza-przemyslowa;;;
permanent;c-f-s-a-web-developer;;;
b2b;c-f-s-a-web-developer;;;
b2b;netguru-junior-devops-engineer-poznan;pln;6000;8000
permanent;netguru-junior-devops-engineer-poznan;pln;5000;6700
permanent;redge-technologies-mlodszy-programista-front-end;;;
permanent;wittchen-webmaster;;;
permanent;santander-gto-backstack-solution-engineer;;;
b2b;rst-sp-z-o-o-sp-k-front-end-developer-wroclaw;pln;9000;18000
permanent;rst-sp-z-o-o-sp-k-front-end-developer-wroclaw;pln;7500;15000
b2b;rst-sp-z-o-o-sp-k-node-js-developer-c532a567-73a0-4263-8968-4de3bdd7583f;pln;9000;18000
b2b;antmait-macos-developer-full-remote;pln;40000;51000
permanent;santander-gto-software-engineer;;;
b2b;scalo-fullstack-developer-node-js-react;pln;23520;28560
b2b;the-software-house-node-js-team-manager-bialystok;pln;20000;26000
b2b;the-software-house-senior-devops-engineer;pln;20000;28000
b2b;polcode-quality-assurance-specialist-warszawa;pln;5000;9000
permanent;polcode-quality-assurance-specialist-warszawa;pln;4000;7500
b2b;merce-com-s-a-php-developer;pln;8400;15200
permanent;merce-com-s-a-php-developer;pln;7000;12600
permanent;setapp-it-support-specialist-1st-line;;;
permanent;xtrf-manual-quality-assurance-specialist;pln;5500;8500
b2b;spyrosoft-test-automation-engineer-cypress-js;pln;11760;22680
permanent;spyrosoft-test-automation-engineer-cypress-js;pln;8600;16650
permanent;flair-hr-full-stack-remote-developer;eur;3500;7000
b2b;kanga-exchange-java-developer;pln;9600;19000
b2b;miquido-senior-product-designer;pln;14600;18500
permanent;miquido-senior-product-designer;pln;12300;15500
b2b;miquido-senior-ui-ux-designer;pln;14600;18500
permanent;miquido-senior-ui-ux-designer;pln;12300;15500
b2b;leadfeeder-remote-site-reliability-engineer;eur;7000;9990
permanent;zooplus-junior-software-engineer-backend;pln;9000;13000
b2b;the-software-house-qa-automation-engineer;pln;8000;12500
b2b;luxdone-java-developer;pln;14000;20000
permanent;atende-software-android-developer;;;
permanent;provident-polska-c-net-developer;pln;8500;12000
permanent;eqtek-solution-designer;;;
b2b;eqtek-solution-designer;;;
b2b;asco-systemy-informatyczne-react-developer-d1c97e41-cb6e-4908-b247-a1ca42d12b7b;pln;10000;14000
b2b;hays-poland-product-manager-business-analyst;pln;22400;25600
b2b;antmait-react-developer-full-remote;pln;27000;32000
b2b;itds-test-engineer-krakow;pln;14500;18500
permanent;hcl-poland-network-data-security-l2;;;
b2b;symmetrical-ai-architect;pln;22000;32000
b2b;piwik-pro-manual-tester;pln;7000;12000
b2b;insert-jr-fullstack-developer-angular-python-b11af31a-14e0-4e5b-a729-2540510906ea;pln;11000;16000
permanent;insert-jr-fullstack-developer-angular-python-b11af31a-14e0-4e5b-a729-2540510906ea;pln;10000;15000
b2b;objectivity-angular-developer-gdansk;pln;15800;25200
permanent;objectivity-angular-developer-gdansk;pln;10000;17000
permanent;hcl-poland-change-release-coordinator;;;
permanent;hcl-poland-sccm-deployment-technician;;;
permanent;exadel-poland-sp-z-o-o-software-development-engineer-in-test;pln;13000;16000
b2b;amt-solution-php-developer-junior-wroclaw;;;
permanent;atende-software-programista-ios;;;
permanent;santander-gto-data-management-expert;;;
b2b;wunderman-thompson-technology-it-engineer;pln;9000;13000
permanent;wunderman-thompson-technology-it-engineer;pln;8000;12000
b2b;prodata-consult-data-engineer-with-azure;;;
permanent;allegro-software-engineer-java-kotlin-6f9f7f00-7cfa-4c44-85e7-0c359ee48063;;;
permanent;allegro-senior-software-engineer-java-kotlin-warszawa;;;
b2b;software-interactive-sp-z-o-o-programista-python;pln;12500;18500
b2b;iteo-sp-z-o-o-flutter-developer-katowice;pln;10000;20000
permanent;iteo-sp-z-o-o-flutter-developer-katowice;pln;8500;17000
b2b;idego-lead-core-python-engineer;pln;24000;30000
permanent;platige-image-administrator-systemow;pln;9000;12000
permanent;ledatel-sp-z-o-o-i-wspolnicy-sp-k-python-c-developer;pln;12000;22000
permanent;platige-image-it-support-specialist;pln;6000;8000
b2b;code-pepper-senior-node-js-developer;pln;18000;24000
permanent;code-pepper-senior-node-js-developer;pln;15000;20000
permanent;xtrf-agile-project-manager;pln;9000;14000
b2b;fabres-senior-developer-erp;pln;17000;21000
permanent;provident-polska-c-net-developer-warszawa;pln;8500;12000
b2b;optiveum-junior-javascript-developer;eur;3000;3800
b2b;sigma-it-poland-net-aws-developer;pln;17500;23000
permanent;sigma-it-poland-net-aws-developer;pln;15000;19000
b2b;happy-team-remote-net-engineer-lodz;pln;15000;20000
b2b;ciklum-senior-sap-basis-specialist-krakow;;;
b2b;happy-team-fullstack-net-developer-react-warszawa;pln;23000;27000
b2b;ciklum-sap-basis-specialist-with-german-wroclaw;;;
b2b;cloud-technologies-s-a-devops-engineer-warszawa;pln;15000;25000
permanent;afterweb-web-developer-front-end-developer-wroclaw;pln;8381;11218
b2b;avanade-poland-data-engineer-warszawa;pln;14400;24000
permanent;avanade-poland-data-engineer-warszawa;pln;10000;19000
b2b;stx-next-javascript-developer-katowice;pln;8500;16800
b2b;mbe-group-sp-z-o-o-php-developer;pln;13000;22000
permanent;mbe-group-sp-z-o-o-php-developer;pln;11000;18000
b2b;idego-senior-net-developer-ab3611d4-0b7e-4cbe-86e3-257b145475cc;pln;18000;24000
b2b;dotdata-inc-scrum-master;pln;9925;19850
b2b;global4net-backend-developer;pln;10000;18000
b2b;autenti-sp-z-o-o-senior-java-developer-platform-team;pln;17000;25000
b2b;codibly-senior-database-analyst;pln;12000;15000
b2b;pentacomp-systemy-informatyczne-s-a-programista-net-warszawa;;;
permanent;pentacomp-systemy-informatyczne-s-a-programista-net-warszawa;;;
b2b;macopedia-magento-developer-poznan;pln;10000;14000
b2b;decerto-administrator-systemow-devops;pln;14400;17600
b2b;vratislavia-software-sp-z-o-o-front-end-angular-developer-poznan;pln;13000;15000
permanent;vratislavia-software-sp-z-o-o-front-end-angular-developer-poznan;pln;10000;12500
b2b;decerto-java-developer-22b4404a-8ea6-4c27-b012-a03aead9498a;pln;8500;9000
b2b;jit-team-head-of-cloud-platform;pln;39900;48300
b2b;jit-team-devops-engineer-intern;;;
b2b;getresponse-javascript-developer-gdansk;pln;9240;17220
permanent;getresponse-javascript-developer-gdansk;pln;7670;14300
b2b;team-international-poland-salesforce-developer;pln;17000;21000
permanent;team-international-poland-salesforce-developer;pln;14000;17500
b2b;pgs-software-s-a-qa-architect;;;
permanent;pgs-software-s-a-qa-architect;;;
permanent;microstrategy-junior-java-consultant;;;
permanent;novelpay-regular-android-developer;pln;10000;15000
b2b;novelpay-regular-android-developer;pln;10000;15000
b2b;macopedia-phpsymfony-dev-magento-shopware-akeneo;pln;10000;15000
permanent;ey-tech-internship-w-ey-gds-polska-wroclaw;;;
b2b;egnyte-poland-cloud-security-engineer-poznan;pln;16000;18000
b2b;egnyte-poland-product-security-engineer-poznan;pln;16000;18000
b2b;astarium-programistka-programista-ruby-62647679-a797-43dd-8c03-603f4840d72a;pln;7500;15000
permanent;astarium-programistka-programista-ruby-62647679-a797-43dd-8c03-603f4840d72a;pln;6500;13000
b2b;cshark-middle-net-core-developer-wroclaw;pln;13500;17500
b2b;cshark-senior-net-core-developer-wroclaw;pln;18500;22500
b2b;gigaset-poland-test-engineer;;;
permanent;gigaset-poland-test-engineer;;;
b2b;startup-house-senior-qa-engineer;pln;10500;13650
b2b;polcode-symfony-full-stack-developer-warszawa;pln;9000;17000
permanent;polcode-symfony-full-stack-developer-warszawa;pln;7500;14500
b2b;hotailors-angular-frontend-developer-poznan;pln;11000;16000
permanent;fis-technology-services-poland-product-implementation-consultant;pln;6500;6500
b2b;7n-python-developer-24fada31-617f-47e5-a9ee-e8f96adb474e;pln;20160;23520
b2b;pive-junior-php-developer;pln;4000;6000
permanent;alliants-ltd-ruby-developer;gbp;3300;5400
permanent;epam-systems-senior-business-analyst;;;
b2b;pgnig-sa-data-analyst;;;
permanent;pgnig-sa-data-analyst;;;
b2b;nexer-group-oracle-dw-developer;pln;18480;23520
permanent;nexer-group-oracle-dw-developer;pln;15000;19500
b2b;merixstudio-regular-project-manager-poznan;pln;9000;14000
permanent;merixstudio-regular-project-manager-poznan;pln;7500;11600
b2b;datawalk-front-end-architect-offer-with-stocks;pln;24000;28000
permanent;polkomtel-sp-z-o-o-administrator-devops-warszawa;;;
b2b;polkomtel-sp-z-o-o-administrator-devops-warszawa;;;
mandate_contract;anegis-sp-z-o-o-junior-consultant-logistic-or-finance;pln;4000;6000
mandate_contract;eq-system-sp-z-o-o-programista;;;
b2b;xtb-analityk-biznesowy-55a14ce7-ff69-49bd-9058-7282a22f385e;pln;8000;14000
permanent;xtb-analityk-biznesowy-55a14ce7-ff69-49bd-9058-7282a22f385e;pln;8000;14000
permanent;pragmatic-play-studio-interior-designer-and-3d-artist;eur;700;1300
b2b;leadfeeder-remote-senior-ruby-on-rails-engineer;pln;24000;35000
permanent;natek-linux-system-administrator-devops;;;
permanent;epam-systems-junior-test-automation-engineer;;;
b2b;deviniti-fullstack-developer-warszawa;pln;13000;17000
permanent;oferteo-business-intelligence-analyst;pln;7000;10000
permanent;stepstone-services-analytics-implementation-specialist;;;
b2b;anixe-it-administrator;pln;8000;11000
permanent;anixe-it-administrator;pln;7500;10500
permanent;epam-systems-junior-java-developer;;;
b2b;bitnoise-javascript-developer-bc475793-3903-4ef7-99c2-c4068da0b307;pln;12000;18000
b2b;scalac-regular-scala-developer-gdansk;pln;10000;18000
b2b;margo-business-analyst;pln;18000;23500
b2b;rsa-devs-frontend-developer-warszawa;pln;18000;24000
b2b;teamquest-senior-android-engineer;pln;20000;25000
b2b;4soft-front-end-developer;pln;15000;19000
permanent;wipro-delivery-manager;pln;14000;18000
b2b;spyrosoft-senior-python-developer-warszawa;pln;18480;24360
permanent;spyrosoft-senior-python-developer-warszawa;pln;13500;18000
mandate_contract;bitbag-it-project-manager;pln;6500;10000
b2b;bitbag-it-project-manager;pln;6500;10000
b2b;data-lake-head-of-product;pln;15000;20000
b2b;teamquest-backend-software-engineer-python-django;pln;14000;18000
permanent;dcg-help-desk-it-specialist-80728868-297a-4005-9309-d6e31a0adbc6;pln;5000;6000
permanent;safety-io-software-developer;;;
permanent;epam-systems-javascript-developer;pln;9000;13500
b2b;merkandi-full-stack-developer-d583b31d-3c2b-4266-a84c-a6be390e0308;pln;10000;18000
permanent;fujitsu-technology-solutions-sp-z-o-o-iam-automation-engineer-cybersecurity;;;
b2b;booksy-it-project-manager-75c4d375-d525-48e9-841f-dace23e4c07c;;;
permanent;booksy-it-project-manager-75c4d375-d525-48e9-841f-dace23e4c07c;;;
permanent;a1qa-qa-intern-functional-testing-warszawa;;;
b2b;horus-mid-senior-java-developer;pln;12000;24000
permanent;horus-mid-senior-java-developer;pln;10000;20000
b2b;wirtualna-polska-media-s-a-pentester;;;
permanent;wirtualna-polska-media-s-a-pentester;;;
permanent;pwc-polska-ios-developer;;;
b2b;pwc-polska-ios-developer;;;
permanent;fujitsu-technology-solutions-sp-z-o-o-iam-engineer-cybersecurity;;;
permanent;pwc-polska-android-developer;;;
b2b;pwc-polska-android-developer;;;
